LB,SMILES,Exp,DFT,Pred
162,C1=CC=C(C=C1)C(=O)CCCCl,70.53,78.8010645,78.80749
163,CC(=O)C1=CC=C(C=C1)C(C)=O,70.58,69.82084830486639,73.18468
164,CCCC(=O)C1=CC=CC=C1,72.56,80.5601495,80.05413
165,COC1=CC=CC(=C1)C(C)=O,72.68,75.3380141169555,74.57975
166,CC(=O)C1=CC=C(Cl)C=C1,73.03,73.40041099999999,66.52278
167,CC(=O)C1=CC=C(Br)C=C1,73.09,72.9199445,65.37813
168,CC(=O)C1=CC=CC=C1,74.52,75.86050449999999,71.803955
169,CCCC(=O)C1=CC=C(C=C1)C,75.02,84.637551,81.89065
170,CC(=O)C1=CC(C)=CC=C1,76.35,77.1942585,77.837006
171,CC(=O)C1=CC=C(C=C1)C1=CC=CC=C1,77.03,78.100056,81.43689
172,CC(=O)C1=CC=C(C)C=C1,77.82,79.60709299999999,77.399666
173,CCC(=O)C1=CC=C(OC)C=C1,78.17,87.90367298192696,82.04554
174,CCCC(=O)C1=CC=C(OC)C=C1,80.16,89.49210048957366,86.55916
175,COC1=CC=C(C=C1)C(C)=O,83.01,84.8055829521306,82.336685
176,CN(C)C1=CC=C(C=C1)C(C)=O,98.84,98.9440232461631,94.38821
177,CC1(CC(C(=O)C=C1)(C)C)C,81.04,85.9424245,81.05672
178,CC1CC(C=CC1=O)(C)C,81.46,85.9476755,86.407906
179,C1CC=CC(=O)C1,81.71,85.330683,88.722534
180,CC1CCC(=O)C=C1,82.42,84.149208,82.40269
181,CC1(CCC(=O)C=C1)C,84.1,85.792771,90.63199
182,CC1=CCC(CC1=O)C(C)C,84.94,88.9564985,81.17955
183,CC1=CCCCC1=O,84.94,87.110772,77.08739
184,CC1CC=C(C)C(=O)C1,85.35,87.8222825,83.02343
185,CC1=CC(CCC1=O)(C)C,87.45,87.6489995,77.2559
186,CC1=CC(=O)CCC1,89.54,92.703087,87.86478
187,CC1CC(=CC(=O)C1)C,90.37,93.2413145,85.27048
188,CC1(C)CC(=O)C=C(C1)C#N,64.46,67.51579245246914,78.93166
189,COC(=O)C1=CC(=O)CC(C)(C)C1,72.55,75.6346817230854,74.71893
190,CC1(C)CC(Br)=CC(=O)C1,77.28,80.57852799999999,81.76288
191,CC1(C)CC(Cl)=CC(=O)C1,77.87,81.75737749999999,79.152954
192,CC1(C)CC(=O)C=C(CC#N)C1,79.71,83.57684049543042,82.052284
193,CC1(C)CC(=O)C=C(C1)C1=CC=C(C=C1)[N+]([O-])=O,80.29,86.17609391298224,82.17042
194,CC1(C)CC(=O)C=C(C1)C1=CC=C(C=C1)C#N,82.2,87.18952605506047,83.68626
195,CCOC(=O)CC1=CC(=O)CC(C)(C)C1,83.5,89.24461653929255,90.53756
196,CC1(C)CC=CC(=O)C1,83.58,85.41207349999999,88.81038
197,CC1(C)CC(=O)C=C(C1)OC(=O)C1=CC=CC=C1,83.67,90.14584899278692,81.83877
198,CC1(C)CC(=O)C=C(C1)C1=CC=C(Br)C=C1,84.87,92.1911145,88.80907
