ids,y,LB,DFT_Rank,Pred,GNN_Rank
78_1,85.819026,78,1.0,70.609245,1.0
79_1,81.45807049999999,79,1.0,67.261536,1.0
8_1,141.757929,8,1.0,133.90521,1.0
80_1,77.33341,80,1.0,67.866165,1.0
81_1,70.2996955,81,1.0,54.18335,1.0
82_1,78.96909649999999,82,1.0,80.27603,1.0
83_1,82.60803949999999,83,1.0,74.524704,1.0
84_1,86.5252855,84,1.0,75.9961,1.0
85_1,87.0871425,85,1.0,78.387024,1.0
86_1,82.10131799999999,86,1.0,83.59863,1.0
87_1,59.04417699999999,87,1.0,55.70062,1.0
87_2,11.160308,87,3.0,33.60638,3.0
87_3,30.079660999999998,87,2.0,33.648937,2.0
